# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
308000 77.0052 -9.19098 -5.24755 1.31061 11846.3 182603 -9.42049
309000 76.9141 -9.19079 -5.24798 1.31076 11845.8 182582 -9.42003
310000 77.0728 -9.18987 -5.24708 1.31063 11844.6 182600 -9.41958
311000 77.0277 -9.19021 -5.24732 1.31068 11845.3 182593 -9.41978
312000 76.9613 -9.1901 -5.24712 1.31065 11845.3 182597 -9.41948
313000 76.9012 -9.19095 -5.24856 1.3106 11843 182605 -9.42015
314000 77.0087 -9.18992 -5.24765 1.31069 11843.5 182592 -9.41944
315000 77.1257 -9.18974 -5.24875 1.31091 11841.7 182561 -9.41961
316000 77.0397 -9.18939 -5.2477 1.3107 11842 182590 -9.41901
317000 76.9683 -9.18969 -5.24821 1.31078 11841.9 182580 -9.41909
318000 77.0211 -9.18896 -5.24778 1.31085 11841.7 182570 -9.41852
319000 77.0475 -9.18819 -5.24688 1.3109 11842.5 182563 -9.41782
320000 77.0833 -9.18875 -5.24855 1.31086 11838.8 182568 -9.41849
321000 76.9184 -9.18983 -5.24973 1.31096 11839.5 182553 -9.41908
322000 76.8596 -9.19149 -5.25077 1.31081 11840 182575 -9.42057
323000 76.9579 -9.19037 -5.24969 1.31069 11838.8 182592 -9.41974
324000 76.9891 -9.18994 -5.24935 1.31074 11839 182585 -9.41941
325000 77.0446 -9.18956 -5.2497 1.31078 11837.1 182579 -9.41919
326000 77.0406 -9.18974 -5.25038 1.31085 11836.2 182570 -9.41936
327000 77.0625 -9.18972 -5.24927 1.31061 11837.4 182602 -9.4194
328000 76.841 -9.19094 -5.25173 1.31084 11835.7 182571 -9.41996
329000 76.8538 -9.19158 -5.2522 1.31088 11836.6 182565 -9.42063
330000 76.8982 -9.19156 -5.25202 1.31063 11834.8 182600 -9.42075
331000 77.0697 -9.1907 -5.25105 1.31056 11834.6 182609 -9.42041
332000 76.8571 -9.19185 -5.25225 1.31056 11834.3 182610 -9.42092
333000 77.0546 -9.18873 -5.24956 1.31071 11834.4 182589 -9.41839
334000 77.1722 -9.18914 -5.25011 1.31063 11833.3 182600 -9.41915
335000 77.0709 -9.1895 -5.25058 1.31066 11833.2 182596 -9.41921
336000 77.1647 -9.18881 -5.25052 1.31065 11831.2 182597 -9.4188
337000 76.8618 -9.18972 -5.25204 1.31104 11832.9 182543 -9.4188
338000 77.0825 -9.18813 -5.2515 1.311 11829.4 182548 -9.41787
339000 77.086 -9.18889 -5.25157 1.31098 11831.4 182551 -9.41864
340000 77.0452 -9.18811 -5.2514 1.31116 11831 182526 -9.41774
341000 76.9734 -9.18916 -5.25334 1.31109 11827.8 182536 -9.41858
342000 77.1694 -9.18777 -5.25084 1.31099 11830.2 182550 -9.41777
343000 76.9969 -9.18898 -5.25188 1.31082 11829.2 182573 -9.41846
344000 77.1304 -9.18833 -5.25182 1.31099 11828.9 182550 -9.41822
345000 77.0399 -9.18905 -5.25384 1.311 11825.2 182548 -9.41866
346000 77.0589 -9.18859 -5.25223 1.31103 11828.9 182544 -9.41826
347000 76.948 -9.18887 -5.25348 1.31125 11827.9 182513 -9.41821
348000 77.1592 -9.18871 -5.25346 1.31101 11825.4 182546 -9.41868
349000 76.9459 -9.19047 -5.25454 1.31084 11825.8 182571 -9.4198
350000 76.9223 -9.18997 -5.25495 1.31109 11825.4 182536 -9.41923
351000 76.9199 -9.19009 -5.25488 1.31102 11825.4 182545 -9.41935
352000 76.9672 -9.18926 -5.2545 1.31101 11823.9 182547 -9.41866
353000 76.8845 -9.18965 -5.25494 1.31094 11823.1 182557 -9.4188
354000 76.9455 -9.18873 -5.25372 1.31091 11823.8 182561 -9.41806
355000 76.8227 -9.18881 -5.25493 1.3111 11822 182535 -9.41778
