# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
244000 77.1019 -9.66427 -9.60715 0.93569 122.562 255769 -9.89407
245000 77.0299 -9.66498 -9.60812 0.935728 121.992 255759 -9.89456
246000 77.0616 -9.66471 -9.60744 0.935748 122.863 255753 -9.89439
247000 77.0558 -9.66481 -9.60726 0.93577 123.479 255747 -9.89447
248000 77.0056 -9.66481 -9.60735 0.935745 123.287 255755 -9.89432
249000 76.8261 -9.66608 -9.60824 0.935819 124.081 255734 -9.89505
250000 77.1093 -9.66438 -9.60645 0.936035 124.318 255675 -9.8942
251000 77.0723 -9.66444 -9.60582 0.93607 125.829 255666 -9.89415
252000 77.1379 -9.66401 -9.60508 0.935847 126.464 255727 -9.89392
253000 77.0065 -9.66506 -9.60655 0.935823 125.548 255733 -9.89457
254000 76.8329 -9.66588 -9.60673 0.93579 126.917 255742 -9.89487
255000 77.0972 -9.66449 -9.60528 0.935834 127.034 255730 -9.89428
256000 77.0197 -9.66485 -9.60514 0.935901 128.158 255712 -9.89441
257000 76.9187 -9.66548 -9.60582 0.935981 128.018 255690 -9.89473
258000 76.8761 -9.66566 -9.60554 0.936082 129.015 255662 -9.89478
259000 77.1007 -9.66425 -9.60419 0.936105 128.893 255656 -9.89405
260000 77.053 -9.66481 -9.60453 0.936055 129.389 255670 -9.89447
261000 77.0253 -9.66497 -9.60406 0.935986 130.711 255689 -9.89454
262000 77.0221 -9.665 -9.60383 0.936108 131.302 255655 -9.89456
263000 77.0764 -9.66476 -9.60379 0.936122 130.848 255651 -9.89448
264000 77.0217 -9.66515 -9.6033 0.936129 132.739 255649 -9.89471
265000 77.2121 -9.66411 -9.60307 0.936034 131.017 255676 -9.89424
266000 77.057 -9.66494 -9.60348 0.936033 131.89 255676 -9.8946
267000 77.069 -9.66484 -9.60228 0.936066 134.265 255667 -9.89454
268000 77.1182 -9.66439 -9.60196 0.935955 133.993 255697 -9.89424
269000 77.0526 -9.6645 -9.60183 0.935982 134.521 255690 -9.89415
270000 77.015 -9.66501 -9.6022 0.93603 134.818 255677 -9.89455
271000 76.963 -9.6652 -9.60248 0.935913 134.567 255709 -9.89458
272000 77.1273 -9.66424 -9.60094 0.935862 135.855 255722 -9.89411
273000 76.9888 -9.66532 -9.60158 0.935951 136.779 255698 -9.89478
274000 77.0335 -9.66479 -9.60118 0.936117 136.544 255653 -9.89438
275000 77.0103 -9.66526 -9.60168 0.935991 136.43 255687 -9.89478
276000 77.0665 -9.66473 -9.6003 0.936044 138.261 255673 -9.89442
277000 76.8233 -9.66629 -9.60205 0.935938 137.846 255702 -9.89526
278000 77.0205 -9.66494 -9.60001 0.935901 139.333 255712 -9.8945
279000 77.0325 -9.66476 -9.59977 0.935881 139.434 255717 -9.89435
280000 77.0369 -9.66511 -9.6 0.935784 139.677 255744 -9.89471
281000 76.9851 -9.66506 -9.59989 0.935938 139.839 255702 -9.89451
282000 77.1057 -9.66403 -9.59845 0.935925 140.716 255705 -9.89384
283000 77.0448 -9.66458 -9.59861 0.93602 141.619 255679 -9.89421
284000 77.1403 -9.66376 -9.59771 0.936017 141.764 255680 -9.89368
285000 76.9764 -9.6647 -9.5982 0.936038 142.715 255674 -9.89413
286000 76.8834 -9.66547 -9.59908 0.936027 142.46 255677 -9.89462
287000 76.9968 -9.66517 -9.59832 0.936026 143.466 255678 -9.89465
288000 76.8286 -9.66621 -9.59956 0.936149 143.072 255644 -9.8952
289000 76.849 -9.66583 -9.5983 0.936193 144.936 255632 -9.89487
290000 77.0001 -9.66469 -9.59771 0.936091 143.758 255660 -9.89419
291000 76.9221 -9.66543 -9.59787 0.935986 144.989 255688 -9.89469
292000 77.1187 -9.66388 -9.59596 0.935943 145.754 255700 -9.89373
293000 76.9859 -9.66496 -9.59647 0.936009 146.959 255682 -9.89441
294000 77.0452 -9.66444 -9.59582 0.93608 147.26 255663 -9.89407
295000 76.9955 -9.66484 -9.59679 0.936147 146.04 255645 -9.89432
296000 77.0227 -9.66463 -9.59574 0.93625 147.871 255617 -9.89419
297000 77.1368 -9.66396 -9.59465 0.936304 148.794 255602 -9.89387
298000 76.9678 -9.66528 -9.59562 0.936328 149.569 255595 -9.89468
299000 76.9838 -9.66517 -9.59598 0.93632 148.53 255597 -9.89461
300000 77.12 -9.66431 -9.59458 0.936256 149.681 255615 -9.89416
301000 76.8784 -9.66584 -9.59577 0.936183 150.372 255635 -9.89497
302000 77.0541 -9.6646 -9.59472 0.936155 150.005 255642 -9.89426
303000 76.9832 -9.66501 -9.59443 0.936218 151.532 255625 -9.89446
304000 76.907 -9.6657 -9.59485 0.936156 152.048 255642 -9.89492
305000 77.0402 -9.66423 -9.59302 0.936219 152.856 255625 -9.89384
306000 76.9566 -9.6652 -9.59441 0.936226 151.959 255623 -9.89457
307000 76.991 -9.66488 -9.59332 0.936295 153.635 255604 -9.89435
308000 77.0646 -9.6646 -9.59326 0.936122 153.105 255651 -9.89429
309000 77.0995 -9.66451 -9.59234 0.936176 154.922 255637 -9.8943
310000 76.8658 -9.66598 -9.59358 0.936176 155.403 255637 -9.89508
311000 76.884 -9.66599 -9.59427 0.936182 153.96 255635 -9.89514
312000 77.0367 -9.66503 -9.59213 0.936212 156.447 255627 -9.89463
313000 76.918 -9.66588 -9.59311 0.936337 156.217 255593 -9.89513
314000 77.1113 -9.66416 -9.59107 0.936379 156.925 255581 -9.89398
315000 77.0168 -9.66468 -9.59155 0.936223 156.981 255624 -9.89422
316000 76.9943 -9.66507 -9.59153 0.936184 157.825 255634 -9.89454
317000 76.9753 -9.66481 -9.59105 0.936077 158.299 255664 -9.89423
318000 77.1021 -9.66438 -9.59083 0.935998 157.841 255685 -9.89418
319000 77.0101 -9.66501 -9.59044 0.936106 160.05 255656 -9.89453
320000 77.0787 -9.6642 -9.59001 0.936066 159.227 255667 -9.89393
321000 77.1271 -9.66387 -9.58944 0.936149 159.741 255644 -9.89374
322000 77.0112 -9.66501 -9.58977 0.936223 161.498 255624 -9.89454
323000 77.0815 -9.66473 -9.58993 0.936236 160.546 255620 -9.89446
324000 76.9406 -9.66552 -9.58945 0.936294 163.309 255604 -9.89484
325000 77.0125 -9.6649 -9.58958 0.936301 161.698 255602 -9.89444
326000 76.981 -9.66523 -9.58955 0.936294 162.454 255605 -9.89467
327000 77.0485 -9.66518 -9.58965 0.936286 162.143 255607 -9.89482
328000 76.942 -9.66576 -9.58901 0.936336 164.742 255593 -9.89508
329000 77.0361 -9.66513 -9.58862 0.936199 164.203 255631 -9.89473
330000 77.0062 -9.66545 -9.58887 0.936131 164.365 255649 -9.89496
331000 77.1491 -9.66459 -9.58766 0.936264 165.126 255613 -9.89452
332000 76.9024 -9.66606 -9.58884 0.936241 165.752 255619 -9.89526
333000 76.9354 -9.6656 -9.588 0.936149 166.581 255644 -9.8949
334000 76.8499 -9.66593 -9.58813 0.936245 166.974 255618 -9.89497
335000 77.088 -9.66436 -9.5869 0.936254 166.247 255615 -9.89411
336000 76.9633 -9.66535 -9.58723 0.936217 167.68 255625 -9.89474
337000 76.8186 -9.6664 -9.58764 0.936296 169.082 255604 -9.89535
338000 77.0557 -9.66469 -9.58627 0.936346 168.346 255590 -9.89435
339000 76.9455 -9.66562 -9.58677 0.936494 169.265 255550 -9.89495
340000 76.9597 -9.6657 -9.58648 0.936559 170.094 255532 -9.89507
341000 76.9025 -9.66588 -9.58664 0.936513 170.138 255545 -9.89508
342000 77.1259 -9.66441 -9.58504 0.936432 170.415 255567 -9.89428
343000 76.8428 -9.66605 -9.5862 0.93653 171.48 255540 -9.89508
344000 77.0917 -9.66437 -9.58419 0.936512 172.182 255545 -9.89414
345000 77.0375 -9.66483 -9.58472 0.936544 172.01 255536 -9.89444
346000 77.0618 -9.66476 -9.58424 0.936512 172.89 255545 -9.89444
347000 76.9792 -9.6653 -9.58472 0.936416 173.009 255571 -9.89473
348000 76.8659 -9.66621 -9.58516 0.936422 173.972 255570 -9.8953
349000 77.0031 -9.66531 -9.58431 0.936372 173.873 255583 -9.89481
350000 77.0322 -9.66508 -9.58375 0.93636 174.594 255586 -9.89467
351000 76.9857 -9.66542 -9.58357 0.936323 175.7 255597 -9.89487
352000 76.9835 -9.66552 -9.58362 0.936335 175.815 255593 -9.89497
353000 77.0816 -9.66461 -9.58284 0.936398 175.542 255576 -9.89435
354000 77.0345 -9.66475 -9.58219 0.936377 177.245 255582 -9.89435
355000 77.026 -9.6647 -9.58177 0.936441 178.061 255564 -9.89427
356000 77.0064 -9.66517 -9.5828 0.936412 176.826 255572 -9.89468
357000 77.0452 -9.66488 -9.58178 0.93649 178.408 255551 -9.89451
358000 76.8764 -9.66607 -9.58279 0.936419 178.768 255570 -9.89519
